FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
20/07/1982,FEMENINO,CASADO,SECUNDARIA,FAMILIARES,0,3500,28000,13,0,7,0,SINODATOS,980,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
14/05/1990,MASCULINO,SOLTERO,LICENCIATURA,RENTADA,0,3750,28000,1,0,0,6,SINODATOS,500,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
16/09/1992,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,5625,28973,7,0,0,10,NO,1687.5,0,NO,POTENCIALES,V1F2,V1,F2,V2,F4
16/07/1993,MASCULINO,SOLTERO,LICENCIATURA,PROPIA,0,4871,28989,18,0,2,0,NO,909.41,0,NO,POTENCIALES,V3F2,V3,F2,V3,F2
25/06/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,6000,28000,26,0,0,6,NO,1591.47,0,NO,POTENCIALES,V2F1,V2,F1,V2,F2
12/05/1994,MASCULINO,SOLTERO,LICENCIATURA,PROPIA,0,6000,28984,29,0,1,2,NO,1500,0,SI,CAMPEONES,V4F5,V4,F5,V4,F5
26/08/1993,FEMENINO,UNIONLIBRE,LICENCIATURA,PROPIA,0,13000,28040,24,0,2,6,NO,1847.25,-80.6,NO,POTENCIALES,V2F2,V2,F2,V3,F2
12/12/1969,FEMENINO,SOLTERO,PRIMARIA,PAGANDOLA,0,5625,28984,0,6,3,0,SINODATOS,549.26,0,NO,ATENCION ALTA,V2F4,V2,F4,V3,F5
10/12/1969,MASCULINO,CASADO,BACHILLERATO,PROPIA,1,6400,49840,22,0,1,0,SINODATOS,1091.29,572,SI,POTENCIALES,V4F1,V4,F1,V4,F1
21/06/1991,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,10500,28110,15,0,2,0,NO,1591.47,310.28,NO,POTENCIALES,V2F2,V2,F2,V2,F2
26/06/1990,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,12000,28000,10,0,1,0,NO,1705.15,286.7,NO,POTENCIALES,V2F2,V2,F2,V2,F2
11/10/1994,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,7000,28000,10,0,2,0,NO,1750,0,NO,POTENCIALES,V1F1,V1,F1,V1,F1
14/02/1990,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,9000,28044,27,0,1,6,NO,2291.72,0,NO,POTENCIALES,V2F1,V2,F1,V3,F1
19/11/1997,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28040,9,0,1,0,SINODATOS,1420.96,0,NO,PERDIDOS,V1F1,V1,F1,V2,F1
22/05/1988,FEMENINO,CASADO,LICENCIATURA,PADRES,0,8000,28979,18,0,5,10,NO,2400,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
23/11/1993,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,14000,28000,1,0,1,6,SINODATOS,1420.96,0,NO,POTENCIALES,V3F1,V3,F1,V3,F1
05/01/1974,FEMENINO,SOLTERO,SECUNDARIA,PROPIA,0,3400,28000,0,6,0,7,SINODATOS,952,125.28,NO,POTENCIALES,V1F1,V1,F1,V2,F1
17/05/1997,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,6000,28080,15,0,0,2,SINODATOS,1420.96,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
31/01/1987,FEMENINO,SOLTERO,LICENCIATURA,AMIGOS,0,8000,28000,3,3,4,0,SINODATOS,1477.79,11.64,NO,ATENCION ALTA,V2F2,V2,F2,V3,F2
01/12/1999,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,8000,28979,5,0,5,0,NO,1420.96,0,SI,PERDIDOS,V1F2,V1,F2,V2,F2
18/04/1960,MASCULINO,CASADO,BACHILLERATO,PROPIA,2,3750,28984,22,0,0,3,SINODATOS,1091.29,896.68,NO,POTENCIALES,V2F2,V2,F2,V3,F2
08/09/1996,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,10000,28000,2,0,4,0,NO,500,0,NO,POTENCIALES,V1F1,V1,F1,V2,F2
11/05/1970,FEMENINO,CASADO,BACHILLERATO,FAMILIARES,0,5000,28040,3,0,10,0,NO,1018.54,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
07/10/1989,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,8000,28400,28,0,7,0,NO,2240,9.7,NO,PERDIDOS,V1F1,V1,F1,V2,F1
12/10/1981,FEMENINO,UNIONLIBRE,SECUNDARIA,PROPIA,2,10000,28550,2,2,3,0,SINODATOS,1018.54,232.4,SI,PERDIDOS,V2F1,V2,F1,V2,F1
26/12/1976,MASCULINO,CASADO,BACHILLERATO,FAMILIARES,2,12000,28030,0,1,12,0,SINODATOS,1477.79,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
02/10/1995,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,2000,28000,22,0,2,0,NO,500,0,NO,POTENCIALES,V1F1,V1,F1,V1,F2
06/07/1995,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,3501,28000,22,0,2,0,NO,875.25,13.96,NO,POTENCIALES,V2F2,V2,F2,V3,F2
11/08/1994,FEMENINO,SOLTERO,BACHILLERATO,RENTADA,0,3200,28000,3,0,1,0,SINODATOS,737.5,0,NO,ATENCION ALTA,V2F2,V2,F2,V3,F2
22/06/1982,MASCULINO,UNIONLIBRE,SECUNDARIA,PROPIA,0,8000,28074,0,2,3,0,NO,945.79,151.6,SI,PERDIDOS,V1F1,V1,F1,V1,F1
06/07/1981,MASCULINO,UNIONLIBRE,LICENCIATURA,RENTADA,0,15000,28000,3,0,4,0,NO,1171.47,234.24,SI,LEALTAD,V3F3,V3,F3,V3,F4
18/08/1992,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,4000,28070,25,0,0,2,NO,945.79,0,NO,PERDIDOS,V1F1,V1,F1,V1,F2
23/03/1986,FEMENINO,CASADO,LICENCIATURA,RENTADA,1,14500,28046,3,3,1,7,SINODATOS,1316.7,804.3,NO,ATENCION ALTA,V3F2,V3,F2,V3,F3
14/06/1993,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28048,25,0,0,6,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
19/10/1992,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,6000,28040,0,7,1,0,NO,1018.54,78,NO,LEALTAD,V3F3,V3,F3,V3,F4
04/10/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,3,0,0,6,NO,909.41,0,SI,POTENCIALES,V1F2,V1,F2,V1,F2
02/09/1974,MASCULINO,SOLTERO,SECUNDARIA,PROPIA,0,12000,28000,2,0,10,0,SINODATOS,1705.15,484,SI,PERDIDOS,V1F1,V1,F1,V1,F1
03/03/1997,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28000,5,0,1,0,NO,1250,8,NO,CAMPEONES,V5F5,V5,F5,V5,F5
16/10/1994,FEMENINO,SOLTERO,BACHILLERATO,PROPIA,1,5000,28060,23,0,0,6,SINODATOS,909.41,53.46,NO,POTENCIALES,V1F2,V1,F2,V1,F2
16/07/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,20,0,0,4,NO,909.41,46.4,NO,POTENCIALES,V2F2,V2,F2,V4,F2
06/08/1996,MASCULINO,SOLTERO,SECUNDARIA,FAMILIARES,0,10000,28000,3,0,7,0,NO,1420.96,0,NO,POTENCIALES,V3F1,V3,F1,V3,F2
01/08/1990,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28000,0,1,3,6,NO,1300,66.5,SI,ATENCION ALTA,V2F2,V2,F2,V2,F2
16/07/1994,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,8000,28000,4,0,8,0,NO,909.41,15.68,NO,POTENCIALES,V1F1,V1,F1,V2,F2
11/07/1969,FEMENINO,CASADO,SECUNDARIA,PROPIA,0,4180,28000,4,0,0,9,SINODATOS,1018.54,186,SI,POTENCIALES,V2F1,V2,F1,V2,F1
12/01/1994,MASCULINO,CASADO,LICENCIATURA,PRESTADA,1,6000,28000,1,2,0,1,NO,1500,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
23/02/1993,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,10000,28000,24,0,2,0,NO,1420.96,242.5,NO,POTENCIALES,V1F1,V1,F1,V1,F1
17/08/1977,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,6300,28984,0,5,12,0,SINODATOS,1705.15,525.72,NO,PERDIDOS,V1F1,V1,F1,V2,F1
02/05/1981,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,5000,28000,4,0,5,0,SINODATOS,1500,980,NO,LEALTAD,V3F3,V3,F3,V3,F3
11/08/1992,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,11000,28000,0,2,3,0,NO,945.79,0,SI,POTENCIALES,V3F2,V3,F2,V3,F2
02/01/1995,MASCULINO,SOLTERO,SECUNDARIA,RENTADA,0,3750,28000,0,1,0,4,NO,500,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F3
12/09/1996,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,16000,28000,10,0,5,0,NO,2046.18,59.4,NO,POTENCIALES,V1F1,V1,F1,V2,F2
28/11/1987,FEMENINO,CASADO,BACHILLERATO,RENTADA,2,5750,28000,3,0,6,0,SINODATOS,810.44,-63.14,NO,LEALTAD,V3F4,V3,F4,V3,F4
13/05/1968,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,25000,28000,15,0,26,0,SINODATOS,2864.65,453.52,NO,POTENCIALES,V4F2,V4,F2,V4,F2
06/06/1994,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,5625,28979,20,0,0,3,NO,1406.25,0,NO,PERDIDOS,V1F2,V1,F2,V3,F3
