1-1,722250,367528,540266160,5.39,189,275663,19500
1-2,46464,13108,19268760,9.83,250,1138,0
1-3,19742,19352,28447440,9.83,237,8994,1287
1-4,13687,4627,6801690,9.91,247,452,0
1-10,20245,5865,8621550,9.90,204,357,0
1-5,43012,49795,73198650,9.40,206,16557,499
1-6,28633,16205,23821350,9.74,221,6514,213
1-7,53866,17108,25148760,9.71,231,8582,1423
1-11,46454,17077,25103190,9.74,213,2332,0
1-8,8896,2820,4145400,9.96,235,409,0
1-9,20926,6234,9163980,9.93,239,529,0
6-1,24939,10809,18159120,9.76,200,1155,59
6-2,150673,66203,111221040,8.41,147,77382,5014
6-3,20888,8995,15111600,9.93,154,1265,0
6-4,18756,8175,13734000,9.88,163,893,0
6-5,7513,12153,20417040,9.85,134,5740,227
6-6,5300,1956,3286080,9.96,184,202,0
6-7,184541,79643,133800240,8.52,248,46546,4911
6-8,4257,3212,5396160,9.95,187,396,0
6-9,112726,50405,84680400,8.78,193,23236,2656
6-10,117600,65894,110701920,9.55,151,31465,1237
11-1,84332,28816,55793539,9.58,45,10747,850
11-2,109030,33655,65162811,9.40,120,25416,2544
11-4,68455,22705,43961421,9.60,85,5359,0
11-5,85319,34080,65985696,9.45,77,12547,1890
11-6,5610,849,1643834,9.99,265,70,0
11-7,468469,200795,388779279,7.33,67,143185,12161
11-9,77794,25594,49555103,9.80,81,11419,3894
11-10,10347,3566,6904489,9.98,145,418,0
11-11,88397,35805,69325641,9.64,54,21939,2136
11-12,27308,8629,16707470,9.89,57,9478,435
11-13,23324,7597,14709311,9.95,165,506,0
11-14,148173,49349,95549534,9.48,105,21656,2069
11-15,184239,69693,134939587,9.02,53,86815,2786
11-16,18456,6278,12155464,9.91,58,1631,0
11-17,529440,214534,415380731,7.00,12,126394,10497
11-18,36584,12404,24016625,9.84,60,8048,207
11-19,50832,12403,24014689,9.88,131,4896,1092
11-20,1239000,680898,1318354708,3.44,74,377904,54615
11-8,37145,12203,23627449,9.92,95,3623,491
11-21,49364,18962,36714224,9.84,86,13354,744
11-22,23528,6627,12831197,9.93,141,475,0
11-23,149936,42306,81912877,9.23,65,24211,1289
11-24,9750,3563,6898681,9.93,31,2035,0
11-25,68795,34109,66041846,9.73,106,4080,0
